:START_ID,:END_ID,:TYPE
reference_crypt_HankersonM05,Darrel Hankerson,WRITES
reference_crypt_HankersonM05,Alfred Menezes,WRITES
reference_crypt_Adams05r,Carlisle Adams,WRITES
reference_crypt_BargK11,Alexander Barg,WRITES
reference_crypt_BargK11,Gregory A. Kabatiansky,WRITES
reference_crypt_CampisiN11,Patrizio Campisi,WRITES
reference_crypt_CampisiN11,Alessandro Neri,WRITES
reference_crypt_Canteaut05g,Anne Canteaut,WRITES
reference_crypt_Smith11f,Sean W. Smith,WRITES
reference_crypt_Biryukov05xc,Alex Biryukov,WRITES
reference_crypt_Bleumer11t,Gerrit Bleumer,WRITES
reference_crypt_Pedersen11c,Torben Pedersen,WRITES
reference_crypt_Peters11,Christiane Peters,WRITES
reference_crypt_QuisquaterS05,Jean-Jacques Quisquater,WRITES
reference_crypt_QuisquaterS05,David Samyde,WRITES
reference_crypt_Handschuh05a,Helena Handschuh,WRITES
reference_crypt_Robshaw05,Matthew J. B. Robshaw,WRITES
reference_crypt_Desmedt11,Yvo Desmedt,WRITES
reference_crypt_Naccache11i,David Naccache,WRITES
reference_crypt_Horne11,Dwight Horne,WRITES
reference_crypt_Wyseur11,Brecht Wyseur,WRITES
reference_crypt_Fontaine05h,Caroline Fontaine,WRITES
reference_crypt_Fontaine05b,Caroline Fontaine,WRITES
reference_crypt_Knudsen05,Lars R. Knudsen,WRITES
reference_crypt_Bauer11q,Friedrich L. Bauer,WRITES
reference_crypt_Knudsen05a,Lars R. Knudsen,WRITES
reference_crypt_Boneh05g,Dan Boneh,WRITES
reference_crypt_HankersonM05g,Darrel Hankerson,WRITES
reference_crypt_HankersonM05g,Alfred Menezes,WRITES
reference_crypt_BanerjeeB11,Suman Banerjee,WRITES
reference_crypt_BanerjeeB11,Vladimir Brik,WRITES
reference_crypt_Kaliski05xb,Burton S. Kaliski Jr.,WRITES
reference_crypt_Preneel11a,Bart Preneel,WRITES
reference_crypt_Paar05,Christof Paar,WRITES
reference_crypt_WongchaowartL11,Brian Wongchaowart,WRITES
reference_crypt_WongchaowartL11,Adam J. Lee,WRITES
reference_crypt_Bleumer05x,Gerrit Bleumer,WRITES
reference_crypt_Paar11c,Christof Paar,WRITES
reference_crypt_Abu-Nimeh11,Saeed Abu-Nimeh,WRITES
reference_crypt_Fontaine11c,Caroline Fontaine,WRITES
reference_crypt_Bleumer05r,Gerrit Bleumer,WRITES
reference_crypt_Teske11,Edlyn Teske,WRITES
reference_crypt_Adams05g,Carlisle Adams,WRITES
reference_crypt_Bauer11,Friedrich L. Bauer,WRITES
reference_crypt_Soete11p,Marijke De Soete,WRITES
reference_crypt_Lenstra05d,Arjen K. Lenstra,WRITES
reference_crypt_YangZ11b,Yi Yang 0002,WRITES
