name:ID,:LABEL
Luca Sbano,author
Anton Kokalj,author
Colin Eden,author
Michael L. Heytens,author
Yang W. Lee,author
Sandra Batista,author
Ali Alphan Bayazit,author
Stuart Hirshfield,author
Omid S. Jahromi,author
Bogdan Iancu,author
Gheorghe Stefanescu,author
Lenwood S. Heath,author
Marian H. Nodine,author
Mimi Kessler,author
Jae-Woo Chang,author
William T. Hewitt,author
Fazli Erbas,author
Janos Fustos,author
Theo McDonald,author
P. A. Massey,author
Jason Tsong-Li Wang,author
Gheorghe Paun,author
Matti Rossi,author
Rick L. Wilson,author
Davide Martinenghi,author
Anthony M. Middleton,author
Mirko Kovac,author
Harold W. Kuhn,author
Yetao Huang,author
Rafael Torres 0001,author
Christian Hambro,author
Masayoshi Ohashi,author
Taras Kowaliw,author
A. Mittal,author
Markos Kourgiantakis,author
William Plishker,author
Matthias Lederer,author
Philipp Cimiano,author
Allen Higgins,author
Milosz A. Sielicki,author
Andreas Blass,author
Francesco Rango,author
Xian-Sheng Hua,author
Matteo Bianchi 0002,author
Michael Siegel,author
Ole-Johan Dahl,author
Michael Stonebraker,author
Raja Naeem Akram,author
Feras A. Batarseh,author
Carlo Zaniolo,author
Nicole Megow,author
Alexander Nakhimovsky,author
Zaki Malik,author
Susie Stephens,author
Geoffrey Holmes,author
Craig Schaffert,author
Henk M. Blanken,author
Padmini Srinivasan,author
Paolo Lollini,author
Dong Yu,author
Valentin Riemer,author
Susan A. Murphy,author
Martina Maggio,author
Gershon Elber,author
Cesare Pautasso,author
Francesca Stramandinoli,author
Dieter Fensel,author
Craig Gotsman,author
Joakim Persson,author
Paul Rosen,author
Wesley Deneke,author
Marco Santello,author
Luca Crippa,author
W. S. Mada Sanjaya,author
Yanchun Zhang,author
Naohiro Matsumura,author
Victor V. Levickij,author
Paul Rosenzweig,author
Jean-Michel Renders,author
C. A. R. Hoare,author
Brandon M. Stewart,author
Juliano B. Lima,author
Zhu Han,author
Marian Gheorghe,author
Max H. Garzon,author
Bart Kuijpers,author
Martin Nowack,author
Martin Hepp,author
Michal Zaremba,author
Marco Cova,author
Reiman Rabbani,author
Marc Ebner,author
Daniel A. Keim,author
Thomas Streicher,author
Sven Lorenz,author
Stuart Haber,author
